order_id,order_date,customer_id,country,product,quantity,unit_price_eur,status
1001,2026-08-01,C001,FR,keyboard,1,79.9,shipped
1002,2026-08-01,C002,BE,mouse,2,29.9,shipped
1003,2026-08-02,C003,FR,monitor,1,249.0,shipped
1004,2026-08-03,C001,FR,usb_c_hub,1,49.9,shipped
1005,2026-08-04,C004,DE,keyboard,2,79.9,processing
1006,2026-08-05,C005,ES,webcam,1,89.0,shipped
1007,2026-08-06,C002,BE,monitor,2,249.0,processing
1008,2026-08-07,C006,FR,mouse,1,29.9,cancelled
1009,2026-08-08,C007,IT,usb_c_hub,3,49.9,shipped
1010,2026-08-09,C003,FR,webcam,1,89.0,processing
1011,2026-08-10,C008,NL,keyboard,1,79.9,shipped
1012,2026-08-11,C005,ES,mouse,2,29.9,shipped
